Using device: cuda
Random seed set to: 42

Loading causal model (encoder source) from /snel/home/cbwash2/cleo/results/causal_z64_pw200_h128_lr3e4/model.pt...
  n_x=50, n_u=2, z_dim=64, hidden=128, n_layers=2

Loading acausal model from /snel/home/cbwash2/cleo/results/sweep_latent_node_40_10/run_05_z64_h256_l2_lr0.0005_dopri5.pt...
  n_x=50, n_u=2, z_dim=64, hidden=256, n_layers=2

=> Using CAUSAL ODE (drift+control) + decoder

================================================================================
EnKF Causal-Init Sweep: ode_source=causal, obs_delay=10
  6 K × 2 Q × 2 R = 24 configs
  Ensemble size: 64
  Horizon: 200, Stride: 200
  Window batch size: 32
================================================================================

[1/24] K=1, Q=0.01, R=0.01, delay=10
  Trial 40: MSE=0.049464, R²=0.9549
  Trial 41: MSE=0.040319, R²=0.9607
  Trial 42: MSE=0.046796, R²=0.9490
  Trial 43: MSE=0.049711, R²=0.9447
  Trial 44: MSE=0.045510, R²=0.9491
  Trial 45: MSE=0.049303, R²=0.9458
  Trial 46: MSE=0.042230, R²=0.9545
  Trial 47: MSE=0.037817, R²=0.9662
  Trial 48: MSE=0.043829, R²=0.9579
  Trial 49: MSE=0.039323, R²=0.9688
  => R²=0.9552, MSE=0.044430, Time=1311.1ms

[2/24] K=1, Q=0.01, R=0.1, delay=10
  Trial 40: MSE=0.064592, R²=0.9411
  Trial 41: MSE=0.053761, R²=0.9476
  Trial 42: MSE=0.059787, R²=0.9348
  Trial 43: MSE=0.063387, R²=0.9295
  Trial 44: MSE=0.058045, R²=0.9350
  Trial 45: MSE=0.062685, R²=0.9311
  Trial 46: MSE=0.054592, R²=0.9412
  Trial 47: MSE=0.048463, R²=0.9567
  Trial 48: MSE=0.058413, R²=0.9438
  Trial 49: MSE=0.054915, R²=0.9564
  => R²=0.9417, MSE=0.057864, Time=1296.2ms

[3/24] K=1, Q=0.1, R=0.01, delay=10
  Trial 40: MSE=0.048481, R²=0.9558
  Trial 41: MSE=0.038798, R²=0.9622
  Trial 42: MSE=0.045881, R²=0.9500
  Trial 43: MSE=0.048326, R²=0.9462
  Trial 44: MSE=0.044237, R²=0.9505
  Trial 45: MSE=0.047939, R²=0.9473
  Trial 46: MSE=0.041180, R²=0.9557
  Trial 47: MSE=0.036685, R²=0.9672
  Trial 48: MSE=0.042891, R²=0.9588
  Trial 49: MSE=0.038211, R²=0.9697
  => R²=0.9563, MSE=0.043263, Time=1297.0ms

[4/24] K=1, Q=0.1, R=0.1, delay=10
  Trial 40: MSE=0.049599, R²=0.9548
  Trial 41: MSE=0.040468, R²=0.9605
  Trial 42: MSE=0.046940, R²=0.9488
  Trial 43: MSE=0.049852, R²=0.9445
  Trial 44: MSE=0.045658, R²=0.9489
  Trial 45: MSE=0.049469, R²=0.9457
  Trial 46: MSE=0.042364, R²=0.9544
  Trial 47: MSE=0.037948, R²=0.9661
  Trial 48: MSE=0.043972, R²=0.9577
  Trial 49: MSE=0.039461, R²=0.9687
  => R²=0.9550, MSE=0.044573, Time=1275.7ms

[5/24] K=10, Q=0.01, R=0.01, delay=10
  Trial 40: MSE=0.061419, R²=0.9440
  Trial 41: MSE=0.050950, R²=0.9503
  Trial 42: MSE=0.058748, R²=0.9360
  Trial 43: MSE=0.061857, R²=0.9312
  Trial 44: MSE=0.056873, R²=0.9364
  Trial 45: MSE=0.061773, R²=0.9321
  Trial 46: MSE=0.053031, R²=0.9429
  Trial 47: MSE=0.047829, R²=0.9572
  Trial 48: MSE=0.055104, R²=0.9470
  Trial 49: MSE=0.049073, R²=0.9610
  => R²=0.9438, MSE=0.055666, Time=546.2ms

[6/24] K=10, Q=0.01, R=0.1, delay=10
  Trial 40: MSE=0.093201, R²=0.9151
  Trial 41: MSE=0.079216, R²=0.9228
  Trial 42: MSE=0.083792, R²=0.9087
  Trial 43: MSE=0.087165, R²=0.9030
  Trial 44: MSE=0.081092, R²=0.9093
  Trial 45: MSE=0.085746, R²=0.9058
  Trial 46: MSE=0.079747, R²=0.9142
  Trial 47: MSE=0.069098, R²=0.9382
  Trial 48: MSE=0.086766, R²=0.9166
  Trial 49: MSE=0.088230, R²=0.9299
